country_name,top_country,population,health_expenditure_per_person,edu_expenditure_per_person,political_stability,gov_effectiveness,regulatory_quality,rule_of_law,control_corruption,judicial_effectiveness_score,government_integrity_score,property_rights_score,overall_economic_freedom_score,financial_freedom_score
Afghanistan,0,36000000,184,23.78925046,-2.78,-1.33,-1.34,-1.57,-1.52,28.2,26.2,17.9,51.3,10
Albania,1,2900000,774,NA,0.4,0.08,0.22,-0.4,-0.42,25.4,39.9,54.1,64.5,70
Algeria,0,41000000,1031,NA,-0.96,-0.6,-1.2,-0.86,-0.61,35.2,29,27.8,44.7,30
Andorra,0,77000,5949,NA,1.45,1.94,1.21,1.6,1.24,NA,NA,NA,NA,NA
Angola,0,30000000,196,NA,-0.29,-1.03,-1.04,-1.1,-1.41,25.4,18.9,36,48.6,40
Antigua & Barbuda,0,102000,1105,NA,0.76,0.01,0.25,0.44,0.24,NA,NA,NA,NA,NA
Argentina,1,44000000,1390,656.5225066,0.18,0.16,-0.29,-0.25,-0.26,44.5,32.6,40.8,52.3,60
Armenia,0,3000000,883,89.7707766,-0.71,-0.1,0.28,-0.16,-0.56,47.4,40.5,55.3,68.7,70
Australia,2,25000000,4492,3236.474211,0.9,1.54,1.93,1.68,1.8,93.4,77.4,78.7,80.9,90
Austria,2,9000000,5138,2817.367382,1.04,1.46,1.44,1.81,1.53,80.9,73.5,83.5,71.8,70
Azerbaijan,0,10000000,1191,207.7814278,-0.76,-0.16,-0.25,-0.56,-0.88,36.8,39.9,53.6,64.3,60
Bahamas,0,400000,1699,NA,1,0.58,0.12,0.19,1.17,53.5,50.9,46.5,63.3,60
Bahrain,0,1300000,2453,616.4548631,-0.95,0.19,0.41,0.45,-0.14,55.1,51.8,62.1,67.7,80
Bangladesh,1,165000000,88,NA,-1.25,-0.74,-0.81,-0.67,-0.83,32.6,21.2,32.4,55.1,30
Barbados,0,300000,1234,1013.014181,0.98,0.84,0.49,0.66,1.42,54.4,53.8,51.4,57,60
Belarus,0,10000000,1085,400.8117108,0.03,-0.35,-0.74,-0.82,-0.26,57.3,42,53.5,58.1,10
Belgium,2,11000000,4782,3123.738801,0.42,1.18,1.24,1.34,1.5,69.5,70.9,81.2,67.5,70
Belize,0,400000,524,313.6694612,0.05,-0.64,-0.54,-0.96,-0.27,53.5,34.7,42.1,57.1,50
Benin,0,11000000,84,40.7779218,0.05,-0.64,-0.47,-0.62,-0.55,31.3,30.2,35.5,56.7,50
Bhutan,0,800000,287,147.8617303,1.13,0.56,-0.33,0.63,1.57,51.6,50.9,60.9,61.8,30
